		group 4:LASI			group 4:RASI			group 4:LPSI			group 4:RPSI			group 4:LTHI			group 4:LKNE			group 4:LTIB			group 4:LANK			group 4:LHEE			group 4:LTOE			group 4:RTHI			group 4:RKNE			group 4:RTIB			group 4:RANK			group 4:RHEE			group 4:RTOE		
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
13	0	101.947	192.59	1074.09	-188.263	209.533	1051.91	6.61868	397.218	1089.49	-94.2607	400.659	1079.06	155.062	284.533	712.575	141.665	257.801	521.268	165.927	304.188	376.858	150.511	399.397	68.455	104.194	430.983	51.679	177.71	234.336	39.8147	-217.691	247.192	823.93	-171.722	285.915	523.868	-189.928	333.846	282.586	-172.368	372.655	66.2782	-128.788	411.373	49.9076	-179.958	206.002	36.7455
14	0	101.967	192.548	1074.05	-188.246	209.515	1051.91	6.62249	397.203	1089.49	-94.246	400.65	1079.04	155.163	284.564	712.608	141.764	257.908	521.308	165.945	304.196	376.87	150.479	399.396	68.4598	104.188	430.973	51.6858	177.706	234.357	39.8367	-217.675	247.17	823.937	-171.705	285.899	523.876	-189.925	333.825	282.602	-172.377	372.648	66.3032	-128.763	411.371	49.9031	-179.95	205.986	36.7388
15	0	101.988	192.518	1074.05	-188.233	209.5	1051.91	6.63298	397.189	1089.48	-94.2249	400.639	1079.04	155.086	284.52	712.579	141.78	257.903	521.288	165.955	304.185	376.841	150.491	399.4	68.4393	104.208	430.979	51.6678	177.716	234.353	39.8163	-217.653	247.153	823.945	-171.697	285.893	523.864	-189.924	333.826	282.606	-172.365	372.661	66.2838	-128.763	411.355	49.903	-179.949	205.994	36.7402
16	0	102.02	192.537	1074.04	-188.205	209.493	1051.91	6.67866	397.149	1089.46	-94.1775	400.6	1079.02	155.125	284.516	712.525	141.794	257.871	521.274	165.951	304.155	376.848	150.493	399.375	68.4282	104.217	430.988	51.6496	177.703	234.333	39.8204	-217.634	247.131	823.946	-171.68	285.88	523.878	-189.909	333.822	282.604	-172.365	372.648	66.286	-128.572	411.307	49.7064	-179.976	205.909	36.6609
17	0	102.046	192.499	1074.03	-188.193	209.465	1051.91	6.69898	397.14	1089.45	-94.1509	400.573	1079.03	155.168	284.516	712.574	141.805	257.859	521.285	165.94	304.111	376.857	150.525	399.412	68.4546	104.162	430.98	51.6765	177.712	234.351	39.8222	-217.614	247.112	823.938	-171.673	285.879	523.871	-189.909	333.825	282.605	-172.367	372.635	66.2808	-128.608	411.312	49.7177	-179.971	205.888	36.6513
18	0	102.054	192.488	1074.04	-188.174	209.456	1051.91	6.7174	397.121	1089.46	-94.1423	400.556	1079.03	155.136	284.482	712.632	141.839	257.86	521.263	165.951	304.113	376.832	150.476	399.39	68.4505	104.194	430.984	51.659	177.73	234.37	39.8056	-217.597	247.101	823.946	-171.66	285.871	523.868	-189.9	333.82	282.602	-172.367	372.658	66.2845	-128.74	411.354	49.8878	-179.956	205.995	36.7327
19	0	102.069	192.44	1074.04	-188.164	209.429	1051.91	6.74729	397.066	1089.45	-94.1083	400.536	1079.03	155.095	284.433	712.561	141.827	257.848	521.266	165.961	304.08	376.889	150.452	399.371	68.4344	104.233	430.982	51.6507	177.72	234.347	39.8155	-217.605	247.087	823.95	-171.655	285.861	523.866	-189.892	333.809	282.602	-172.368	372.639	66.2859	-128.618	411.313	49.7362	-179.947	205.997	36.735
20	0	102.079	192.39	1074	-188.157	209.411	1051.9	6.76624	397.046	1089.46	-94.0921	400.509	1079.04	155.189	284.451	712.567	141.836	257.811	521.26	165.952	304.027	376.848	150.485	399.388	68.4474	104.221	430.99	51.6543	177.685	234.329	39.8256	-217.589	247.07	823.949	-171.644	285.854	523.874	-189.882	333.816	282.592	-172.367	372.638	66.2914	-128.744	411.351	49.8956	-179.948	205.995	36.7477
21	0	102.132	192.418	1074	-188.146	209.395	1051.89	6.79461	397.009	1089.47	-94.0828	400.476	1079.05	155.16	284.414	712.514	141.731	257.623	521.234	165.974	304.045	376.792	150.577	399.46	68.4573	104.149	430.954	51.6922	177.71	234.362	39.8212	-217.583	247.072	823.94	-171.641	285.846	523.868	-189.892	333.811	282.597	-172.362	372.643	66.2967	-128.742	411.336	49.904	-179.954	206.001	36.7416
22	0	102.136	192.357	1074	-188.144	209.375	1051.88	6.80299	396.986	1089.47	-94.056	400.447	1079.05	155.098	284.351	712.435	141.836	257.71	521.213	165.987	304.037	376.84	150.487	399.406	68.455	104.201	430.977	51.6693	177.685	234.339	39.8403	-217.575	247.051	823.936	-171.637	285.838	523.872	-189.876	333.806	282.603	-172.356	372.635	66.2981	-128.576	411.309	49.7209	-179.954	206.003	36.731
