		FP1 - Force			FP1 - Moment			FP1 - CoP			FP2 - Force			FP2 - Moment			FP2 - CoP			Combined Force			Combined Moment			Combined CoP		
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
26	5	48.9062	-0.370614	-357.694	-23063.6	-31021.4	1061.33	145.274	318.479	0	-0.185041	-7.54133	-470.308	-7634.61	30308.6	-145.985	-167.556	270.233	0	48.7212	-7.91195	-828.002	-241431	-28074.2	-9827.7	-32.4146	291.075	0
26	6	48.8613	-0.370175	-357.692	-22989	-31070.9	1052.54	145.135	318.27	0	-0.186426	-7.61788	-470.167	-7572.55	30298.5	-146.087	-167.558	270.106	0	48.6749	-7.98805	-827.86	-241262	-28099.6	-9807.11	-32.453	290.916	0
26	7	48.9612	-0.369931	-357.828	-22997.9	-31014.3	1041.33	145.326	318.271	0	-0.187054	-7.70689	-470.121	-7585.48	30321.8	-146.396	-167.502	270.135	0	48.7742	-8.07682	-827.949	-241310	-27981.9	-9823.35	-32.3019	290.939	0
26	8	48.9062	-0.370539	-357.648	-23054.3	-31030.8	1061.31	145.237	318.461	0	-0.187031	-7.68507	-470.488	-7575.18	30318.6	-146.402	-167.559	270.101	0	48.7191	-8.05561	-828.136	-241403	-28125.4	-9794.53	-32.4717	290.986	0
26	9	48.9948	-0.370293	-357.601	-23040.5	-31053.2	1070.16	145.162	318.431	0	-0.185578	-7.51866	-470.079	-7596.28	30326.1	-145.733	-167.487	270.16	0	48.8092	-7.88896	-827.68	-241287	-28061.1	-9846.14	-32.4061	291.015	0
27	0	48.9394	-0.370393	-357.51	-23040.3	-31064.9	1061.17	145.108	318.447	0	-0.184567	-7.41872	-470.126	-7601.58	30298.3	-145.431	-167.553	270.169	0	48.7548	-7.78911	-827.636	-241276	-28130.2	-9864.01	-32.4944	291.023	0
27	1	48.8951	-0.370497	-357.693	-23044.7	-31035	1045.65	145.236	318.426	0	-0.185731	-7.55116	-469.711	-7593.12	30310.7	-145.753	-167.47	270.166	0	48.7094	-7.92166	-827.404	-241219	-27947.9	-9837.86	-32.2846	291.029	0
27	2	48.8728	-0.370284	-357.235	-23030.6	-31057.3	1049.9	145.062	318.469	0	-0.184783	-7.58505	-470.26	-7646.05	30257.1	-146.208	-167.659	270.259	0	48.688	-7.95533	-827.495	-241282	-28255.3	-9820.77	-32.6551	291.072	0
27	3	48.906	-0.370164	-357.692	-22993.3	-31086.8	1032.21	145.09	318.282	0	-0.187096	-7.69505	-470.028	-7561.82	30293.3	-146.303	-167.55	270.088	0	48.7189	-8.06522	-827.719	-241223	-28090.8	-9821.09	-32.4452	290.915	0
27	4	48.9833	-0.370046	-358.058	-22993.9	-31038.7	1066.12	145.314	318.218	0	-0.18557	-7.59639	-470.443	-7613.66	30285.8	-146.196	-167.623	270.184	0	48.7977	-7.96643	-828.501	-241470	-28064.3	-9829.78	-32.3793	290.943	0
27	5	48.8951	-0.370492	-358.15	-23021.4	-31039.7	1030.25	145.333	318.279	0	-0.186314	-7.62887	-469.71	-7596.31	30320.1	-146.028	-167.449	270.172	0	48.7088	-7.99936	-827.86	-241319	-27836.9	-9835.5	-32.1327	290.984	0
27	6	48.8949	-0.370553	-357.74	-23045.2	-31039.7	1070.38	145.234	318.419	0	-0.186204	-7.55149	-470.123	-7565.02	30316.9	-145.801	-167.513	270.092	0	48.7087	-7.92205	-827.863	-241308	-28030.3	-9812.94	-32.3673	290.975	0
27	7	48.9728	-0.370503	-357.83	-23031.2	-31103.8	1052.28	145.077	318.363	0	-0.185586	-7.48393	-469.665	-7557.79	30287	-145.444	-167.514	270.092	0	48.7872	-7.85443	-827.495	-241191	-28001.5	-9866.18	-32.3415	290.966	0
27	8	48.9393	-0.370509	-358.242	-23012.8	-31079	1057.17	145.246	318.238	0	-0.186463	-7.58392	-469.938	-7547.9	30288.2	-145.855	-167.549	270.061	0	48.7528	-7.95443	-828.18	-241341	-27941.2	-9829.96	-32.2445	290.901	0
27	9	48.8834	-0.370187	-358.059	-22979.9	-31062.5	1057.27	145.247	318.179	0	-0.186579	-7.69445	-469.706	-7580.68	30264.1	-146.284	-167.568	270.139	0	48.6968	-8.06463	-827.765	-241240	-27935.7	-9790.56	-32.2564	290.919	0
28	0	48.9508	-0.370657	-358.151	-23040.3	-31070.1	1039.05	145.248	318.332	0	-0.187607	-7.71669	-469.798	-7539.42	30297	-146.26	-167.511	270.048	0	48.7632	-8.08735	-827.948	-241307	-27913	-9820.61	-32.2185	290.934	0
28	1	48.8952	-0.370706	-358.014	-23040.5	-31067.8	1048.04	145.222	318.356	0	-0.186075	-7.56185	-469.938	-7561	30283.5	-145.811	-167.559	270.089	0	48.7091	-7.93255	-827.952	-241323	-27985.8	-9833.05	-32.3095	290.96	0
28	2	48.9728	-0.370412	-357.876	-23035.6	-31057	1047.88	145.219	318.368	0	-0.185014	-7.45064	-469.574	-7575.14	30277.3	-145.35	-167.522	270.132	0	48.7877	-7.82105	-827.45	-241199	-27933	-9878.24	-32.2602	290.994	0
28	3	48.9285	-0.370709	-357.968	-23054.4	-31055.1	1052.44	145.246	318.404	0	-0.185804	-7.51714	-469.756	-7554.54	30278	-145.59	-167.545	270.082	0	48.7427	-7.88785	-827.724	-241270	-27948.6	-9847.26	-32.2713	290.98	0
28	4	49.0058	-0.370187	-358.012	-22989.3	-31119.2	1052.45	145.078	318.214	0	-0.186	-7.52767	-469.8	-7531.79	30250.2	-145.618	-167.61	270.032	0	48.8198	-7.89786	-827.812	-241205	-28044	-9864.32	-32.3791	290.87	0
28	5	48.84	-0.371231	-358.107	-23073.5	-31088.9	1057.01	145.186	318.432	0	-0.185967	-7.49368	-469.753	-7502.53	30221.9	-145.446	-167.664	269.971	0	48.6541	-7.86491	-827.861	-241271	-28001.8	-9825.51	-32.3349	290.934	0
28	6	49.0066	-0.370972	-358.288	-23059.5	-31128.7	1045.63	145.118	318.36	0	-0.186621	-7.68361	-469.753	-7580.15	30278.3	-146.242	-167.544	270.136	0	48.8199	-8.05458	-828.041	-241389	-27950.5	-9836.13	-32.257	291.003	0
28	7	48.9056	-0.37035	-358.288	-22985.1	-31077.6	1073.06	145.261	318.153	0	-0.186958	-7.59404	-469.798	-7506.48	30264.2	-145.782	-167.581	269.978	0	48.7186	-7.96439	-828.087	-241248	-27919.6	-9802.93	-32.2234	290.822	0
28	8	48.9618	-0.370698	-358.151	-23054.5	-31047.2	1050.27	145.313	318.371	0	-0.185851	-7.5505	-469.801	-7565.28	30273.6	-145.752	-167.561	270.103	0	48.776	-7.9212	-827.952	-241340	-27914.6	-9850.37	-32.2197	290.983	0
28	9	49.0503	-0.370409	-358.287	-23026.8	-31069.7	1061.51	145.283	318.269	0	-0.18554	-7.44047	-470.034	-7555.75	30316.4	-145.358	-167.502	270.075	0	48.8648	-7.81088	-828.321	-241392	-27920.2	-9886.55	-32.2078	290.921	0
29	0	48.9839	-0.37054	-358.013	-23017.3	-31137	1047.86	145.028	318.292	0	-0.185342	-7.37188	-469.39	-7506.64	30262.3	-144.875	-167.528	269.992	0	48.7986	-7.74242	-827.403	-241097	-27954.4	-9898.69	-32.2868	290.891	0
29	1	48.9613	-0.370236	-358.241	-22979.9	-31103.3	1045.96	145.178	318.147	0	-0.186063	-7.58362	-469.708	-7566.68	30273.3	-145.847	-167.549	270.109	0	48.7753	-7.95386	-827.949	-241268	-27928.9	-9846.87	-32.2368	290.894	0
29	2	48.8839	-0.370542	-358.242	-23003.2	-31086	1039.28	145.226	318.211	0	-0.186857	-7.69335	-469.521	-7543.52	30230.6	-146.178	-167.614	270.066	0	48.697	-8.06389	-827.763	-241226	-27907.5	-9808.82	-32.2219	290.903	0
29	3	48.8619	-0.370487	-358.013	-23011.9	-31066.3	1016.71	145.226	318.277	0	-0.186359	-7.57195	-469.799	-7528.97	30250.2	-145.769	-167.61	270.026	0	48.6755	-7.94244	-827.811	-241227	-27984.3	-9853.41	-32.3147	290.893	0
29	4	48.9838	-0.370299	-358.103	-23012.1	-31066.8	1032.33	145.246	318.261	0	-0.186401	-7.58228	-469.385	-7524.87	30239.2	-145.691	-167.577	270.031	0	48.7974	-7.95258	-827.489	-241142	-27885.1	-9866.3	-32.1999	290.903	0
29	5	48.9616	-0.370765	-358.289	-23036.6	-31094	1079.53	145.215	318.296	0	-0.185496	-7.37125	-469.343	-7483.42	30238.7	-144.831	-167.572	269.944	0	48.7761	-7.74202	-827.632	-241152	-27859.1	-9861.45	-32.1638	290.876	0
29	6	49.0394	-0.370566	-358.516	-23031.4	-31069.2	1050.41	145.339	318.241	0	-0.184546	-7.30612	-469.53	-7536.46	30276.9	-144.733	-167.517	270.051	0	48.8548	-7.67668	-828.047	-241302	-27790	-9925.43	-32.0605	290.916	0
29	7	49.0836	-0.370263	-358.332	-23003.3	-31108.5	1045.76	145.185	318.195	0	-0.185963	-7.5057	-469.572	-7540.08	30281.9	-145.46	-167.512	270.057	0	48.8977	-7.87596	-827.904	-241250	-27878.5	-9895.73	-32.1708	290.892	0
29	8	49.0057	-0.369998	-357.828	-22984.3	-31100.4	1047.89	145.086	318.233	0	-0.186972	-7.6045	-469.522	-7502.39	30249	-145.747	-167.575	269.979	0	48.8187	-7.9745	-827.351	-241057	-28005.2	-9851.02	-32.3496	290.849	0
29	9	48.9727	-0.370482	-358.607	-22993.9	-31099.1	1032.64	145.278	318.12	0	-0.187177	-7.62651	-469.202	-7507.94	30266.4	-145.729	-167.494	270.002	0	48.7855	-7.99699	-827.809	-241190	-27730.6	-9852.87	-32.0009	290.847	0
30	0	49.0282	-0.370583	-358.654	-23017.6	-31087.5	1052.76	145.322	318.178	0	-0.186161	-7.56032	-469.661	-7523.97	30226.3	-145.702	-167.642	270.02	0	48.842	-7.9309	-828.314	-241355	-27856.4	-9862.34	-32.1313	290.872	0
30	1	49.0284	-0.370713	-358.471	-23040.8	-31087.5	1052.58	145.278	318.275	0	-0.185259	-7.47251	-469.847	-7552.83	30245.7	-145.487	-167.626	270.075	0	48.8431	-7.84323	-828.318	-241404	-27922.2	-9882.81	-32.2111	290.935	0
30	2	49.0941	-0.369683	-358.239	-22942.6	-31118.2	1050.36	145.136	318.043	0	-0.18575	-7.39441	-469.711	-7493.48	30268.2	-145.01	-167.56	269.953	0	48.9083	-7.76409	-827.949	-241149	-27955.8	-9918.86	-32.2622	290.761	0
30	3	48.9618	-0.37056	-358.378	-23012.2	-31098.6	1021.23	145.224	318.212	0	-0.185666	-7.4051	-469.481	-7498.7	30258	-145.006	-167.55	269.972	0	48.7762	-7.77566	-827.859	-241202	-27855.4	-9912.12	-32.1509	290.855	0
30	4	48.895	-0.370453	-358.196	-22998.3	-31086.4	1032.51	145.214	318.206	0	-0.186495	-7.48174	-469.477	-7460.1	30220.6	-145.229	-167.629	269.89	0	48.7085	-7.85219	-827.673	-241105	-27919.1	-9866.2	-32.2387	290.8	0
30	5	48.9171	-0.370534	-358.425	-23007.9	-31064	1043.86	145.332	318.192	0	-0.187834	-7.67023	-469.154	-7477.18	30252.2	-145.816	-167.518	269.938	0	48.7293	-8.04077	-827.579	-241117	-27738.5	-9817.39	-32.0223	290.837	0
30	6	48.9726	-0.370407	-358.79	-22975.3	-31103.8	1030.55	145.309	318.036	0	-0.187808	-7.66017	-470.116	-7467.32	30237.4	-146.046	-167.681	269.884	0	48.7847	-8.03058	-828.906	-241411	-27932.2	-9847.33	-32.204	290.726	0
30	7	48.9611	-0.370022	-358.195	-22975	-31056.5	1046.03	145.297	318.141	0	-0.186941	-7.60383	-468.927	-7507.11	30255.9	-145.579	-167.478	270.009	0	48.7742	-7.97385	-827.121	-240994	-27730.4	-9841.56	-32.0272	290.853	0
30	8	49.0388	-0.369945	-358.651	-22961	-31059.8	1032.75	145.398	318.021	0	-0.186778	-7.45982	-469.387	-7449.67	30257.5	-145.062	-167.538	269.871	0	48.852	-7.82976	-828.038	-241150	-27735.5	-9907.22	-31.9949	290.726	0
30	9	48.9726	-0.370373	-358.287	-23003.2	-31080.4	1045.94	145.253	318.203	0	-0.184886	-7.36081	-469.619	-7515.64	30230.6	-144.955	-167.627	270.004	0	48.7877	-7.73118	-827.906	-241220	-27918	-9900.43	-32.2244	290.863	0
31	0	48.9391	-0.370454	-358.836	-22975.5	-31088.4	1041.89	145.363	318.028	0	-0.186255	-7.41584	-469.571	-7461.82	30253.6	-144.99	-167.572	269.891	0	48.7529	-7.78629	-828.408	-241268	-27763.1	-9883.03	-32.0196	290.742	0
31	1	48.9723	-0.370091	-358.515	-22975	-31043	1034.99	145.412	318.084	0	-0.185996	-7.49363	-469.433	-7511.81	30243.9	-145.353	-167.574	270.002	0	48.7863	-7.86372	-827.948	-241204	-27771.6	-9880.81	-32.0455	290.822	0
31	2	49.0055	-0.370019	-358.652	-22947.3	-31100.5	1037.26	145.285	317.982	0	-0.187776	-7.71544	-469.749	-7497.68	30240.7	-146.205	-167.624	269.961	0	48.8177	-8.08546	-828.401	-241287	-27874.7	-9836.36	-32.1516	290.752	0
31	3	49.05	-0.370129	-358.926	-22961.4	-31083.7	1039.6	145.398	317.973	0	-0.187466	-7.60355	-469.429	-7455.83	30225.2	-145.636	-167.613	269.883	0	48.8625	-7.97368	-828.355	-241243	-27738.1	-9870.6	-31.9852	290.72	0
31	4	48.9834	-0.370061	-358.423	-22979.6	-31038.7	1039.41	145.402	318.113	0	-0.185856	-7.39346	-469.48	-7470.31	30239.2	-144.919	-167.59	269.912	0	48.7975	-7.76352	-827.903	-241151	-27804.5	-9901.84	-32.0866	290.78	0
31	5	49.1497	-0.369474	-357.963	-22965.2	-31064.4	1034.42	145.219	318.155	0	-0.186097	-7.3603	-469.481	-7450.14	30262.5	-144.73	-167.541	269.869	0	48.9636	-7.72978	-827.444	-240999	-27921.3	-9956.37	-32.2367	290.758	0
31	6	49.0496	-0.369734	-358.422	-22933.4	-31107	1052.83	145.211	317.984	0	-0.186956	-7.42675	-469.663	-7424.87	30263.2	-144.96	-167.564	269.809	0	48.8626	-7.79649	-828.085	-241107	-27894	-9897.29	-32.1845	290.661	0
31	7	48.9942	-0.369741	-358.696	-22923.5	-31071.9	1017.2	145.375	317.908	0	-0.187136	-7.57099	-469.843	-7463.71	30226.9	-145.653	-167.666	269.886	0	48.8071	-7.94073	-828.539	-241258	-27870.6	-9886.32	-32.1421	290.676	0
31	8	49.0824	-0.369063	-358.648	-22872.1	-31066.2	1023.97	145.38	317.773	0	-0.18729	-7.57136	-469.935	-7463.61	30245.9	-145.66	-167.638	269.882	0	48.8951	-7.94042	-828.583	-241218	-27882.2	-9901.71	-32.1499	290.612	0
31	9	49.0164	-0.369634	-358.513	-22932.7	-31049.4	1026.07	145.394	317.966	0	-0.18761	-7.64862	-469.795	-7471.6	30231.4	-145.93	-167.65	269.904	0	48.8287	-8.01826	-828.308	-241220	-27876.2	-9865.36	-32.1565	290.707	0
32	0	49.1834	-0.369982	-358.788	-22979.8	-31089.3	1030.28	145.349	318.048	0	-0.18734	-7.60296	-469.382	-7446.66	30192.3	-145.634	-167.676	269.865	0	48.996	-7.97295	-828.17	-241205	-27803.8	-9913.97	-32.0645	290.739	0
32	1	49.083	-0.369739	-358.788	-22942.4	-31057	1032.84	145.439	317.944	0	-0.186349	-7.43758	-469.433	-7458.16	30239.1	-145.035	-167.584	269.888	0	48.8967	-7.80732	-828.221	-241185	-27732.1	-9923.53	-31.9813	290.706	0
32	2	49.0496	-0.369629	-358.65	-22946.7	-31008.8	1030.63	145.54	317.981	0	-0.18649	-7.4365	-469.43	-7421.07	30187.6	-145	-167.693	269.809	0	48.8631	-7.80613	-828.081	-241116	-27765.1	-9917.39	-32.0284	290.673	0
32	3	49.1714	-0.369097	-358.374	-22909.5	-31060.6	1039.31	145.329	317.926	0	-0.187555	-7.53698	-469.476	-7424.97	30239.2	-145.326	-167.589	269.815	0	48.9838	-7.90608	-827.85	-241029	-27845.3	-9916.5	-32.1279	290.642	0
32	4	49.1607	-0.369541	-358.558	-22942.3	-31074.3	1037.06	145.335	317.985	0	-0.188019	-7.6482	-469.84	-7438.96	30222.2	-145.876	-167.676	269.833	0	48.9727	-8.01775	-828.398	-241220	-27916.5	-9890.99	-32.1941	290.675	0
32	5	49.1489	-0.368969	-358.557	-22876.9	-31073.7	1039.53	145.337	317.803	0	-0.188571	-7.64703	-469.381	-7397.04	30215.5	-145.652	-167.627	269.759	0	48.9603	-8.016	-827.937	-240995	-27816.8	-9885.3	-32.0911	290.566	0
32	6	49.2153	-0.368808	-358.922	-22863.1	-31053.2	1041.98	145.482	317.699	0	-0.187825	-7.55953	-469.979	-7411.87	30227.3	-145.532	-167.684	269.771	0	49.0275	-7.92834	-828.901	-241237	-27840.4	-9919.89	-32.0801	290.524	0
32	7	49.1822	-0.369006	-358.785	-22886.3	-31047.1	1041.88	145.466	317.788	0	-0.187904	-7.6149	-469.795	-7432.89	30226.6	-145.726	-167.66	269.822	0	48.9943	-7.9839	-828.581	-241203	-27822.8	-9899.06	-32.0726	290.592	0
32	8	49.2265	-0.368961	-359.014	-22900.3	-30988.2	1046.52	145.685	317.787	0	-0.186173	-7.41444	-469.477	-7429.49	30183.1	-144.958	-167.709	269.825	0	49.0404	-7.7834	-828.491	-241182	-27683.1	-9951.46	-31.9042	290.609	0
32	9	49.1041	-0.368728	-358.602	-22848.9	-31043.7	1042	145.431	317.717	0	-0.187085	-7.44745	-469.43	-7393.45	30201.5	-144.961	-167.663	269.75	0	48.9171	-7.81618	-828.032	-240979	-27799.7	-9916.97	-32.0692	290.523	0
33	0	49.1374	-0.36879	-358.831	-22849.2	-31049.9	1048.82	145.469	317.677	0	-0.18824	-7.49222	-469.933	-7348.44	30222.2	-145.138	-167.688	269.637	0	48.9492	-7.86101	-828.764	-241122	-27849.2	-9908.21	-32.1001	290.437	0
33	1	49.182	-0.368743	-358.83	-22872	-31000.3	1035.3	145.607	317.741	0	-0.188999	-7.68116	-469.794	-7398.24	30240.6	-145.868	-167.63	269.748	0	48.993	-8.04991	-828.624	-241168	-27751.2	-9890.15	-31.9845	290.531	0
33	2	49.1488	-0.369007	-359.106	-22863.1	-31050.4	1033.2	145.534	317.667	0	-0.188752	-7.61424	-469.246	-7395.42	30266.3	-145.44	-167.5	269.76	0	48.9601	-7.98324	-828.351	-241084	-27584.3	-9898.9	-31.794	290.529	0
33	3	49.1712	-0.368926	-358.373	-22886.1	-31074.6	1034.86	145.29	317.861	0	-0.187838	-7.51398	-469.429	-7382.15	30215.6	-145.157	-167.633	269.726	0	48.9834	-7.88291	-827.802	-240949	-27872.3	-9925.92	-32.1623	290.565	0
33	4	49.2153	-0.368745	-358.693	-22872.2	-31039.1	1041.84	145.466	317.765	0	-0.188014	-7.51491	-469.797	-7386.62	30245.1	-145.244	-167.621	269.723	0	49.0273	-7.88366	-828.49	-241115	-27819.6	-9929.94	-32.0705	290.523	0
33	5	49.2265	-0.368788	-359.013	-22858.2	-31058.3	1026.29	145.49	317.67	0	-0.187231	-7.50376	-469.385	-7432.91	30243.5	-145.195	-167.568	269.835	0	49.0393	-7.87255	-828.398	-241123	-27672.1	-9951.06	-31.8943	290.566	0
33	6	49.1712	-0.368813	-358.281	-22885.7	-31055.9	1021.36	145.32	317.876	0	-0.189256	-7.6475	-469.519	-7373.47	30258	-145.594	-167.555	269.704	0	48.982	-8.01631	-827.8	-240946	-27853.2	-9908.77	-32.1396	290.554	0
33	7	49.2815	-0.368344	-359.103	-22825.5	-31032.5	1033.16	145.583	317.563	0	-0.188746	-7.65793	-469.609	-7378.9	30193.1	-145.738	-167.706	269.713	0	49.0928	-8.02627	-828.712	-241123	-27729.6	-9922.78	-31.9493	290.447	0
33	8	49.2707	-0.368478	-358.463	-22867.2	-31036.7	1037.16	145.417	317.792	0	-0.188584	-7.59126	-469.518	-7362.09	30201.9	-145.426	-167.675	269.68	0	49.0822	-7.95974	-827.981	-240959	-27852.1	-9931.14	-32.1258	290.51	0
33	9	49.2149	-0.368387	-358.692	-22821	-31071.8	1046.44	145.375	317.623	0	-0.189223	-7.61347	-469.564	-7339.58	30220.7	-145.447	-167.641	269.631	0	49.0257	-7.98186	-828.256	-240961	-27823.2	-9902.38	-32.0835	290.415	0
34	0	49.2598	-0.369038	-359.335	-22891.4	-31013	1051.14	145.693	317.705	0	-0.188144	-7.49162	-469.475	-7353.18	30220.3	-145.019	-167.63	269.663	0	49.0717	-7.86066	-828.81	-241181	-27597.4	-9937.12	-31.7869	290.492	0
34	1	49.2928	-0.368462	-358.829	-22853.5	-31033	1041.89	145.516	317.689	0	-0.187966	-7.47966	-469.062	-7348.21	30199.9	-144.869	-167.616	269.666	0	49.1048	-7.84813	-827.891	-240904	-27661.5	-9957.28	-31.8967	290.48	0
34	2	49.1262	-0.368807	-359.106	-22835.4	-31049.4	1049.04	145.537	317.59	0	-0.18835	-7.52449	-469.565	-7340.68	30192.7	-145.162	-167.701	269.633	0	48.9379	-7.8933	-828.67	-241078	-27729.3	-9897.72	-31.9587	290.415	0
34	3	49.2699	-0.367952	-358.508	-22811.7	-31017.9	1066.61	145.481	317.629	0	-0.189512	-7.64661	-469.883	-7322.37	30194	-145.645	-167.741	269.583	0	49.0804	-8.01456	-828.391	-240971	-27914.5	-9888.61	-32.1863	290.377	0
34	4	49.2811	-0.367943	-358.965	-22774.4	-31069.9	1042.16	145.446	317.445	0	-0.190776	-7.77972	-469.972	-7309.16	30208.5	-146.1	-167.723	269.552	0	49.0903	-8.14766	-828.937	-241065	-27867.1	-9885.41	-32.1075	290.292	0
34	5	49.3039	-0.368381	-358.829	-22844.1	-31042.8	1035.14	145.488	317.663	0	-0.189327	-7.64635	-469.791	-7327.13	30179.7	-145.644	-167.759	269.597	0	49.1146	-8.01473	-828.619	-241066	-27859.8	-9928.92	-32.1093	290.411	0
34	6	49.348	-0.368244	-359.332	-22816.4	-31035.4	1039.98	145.63	317.497	0	-0.188242	-7.45827	-469.75	-7323.81	30207.3	-144.924	-167.695	269.591	0	49.1597	-7.82652	-829.081	-241144	-27700.6	-9978.08	-31.8968	290.354	0
34	7	49.3141	-0.367767	-358.553	-22797.7	-31019.8	1071.11	145.486	317.583	0	-0.189001	-7.54601	-469.563	-7299.66	30178.6	-145.159	-167.731	269.546	0	49.1251	-7.91378	-828.116	-240860	-27849.8	-9918.09	-32.1156	290.344	0
34	8	49.2813	-0.36813	-358.645	-22816.3	-31051.2	1053.11	145.421	317.618	0	-0.188665	-7.50142	-469.426	-7297.85	30173.3	-144.963	-167.723	269.546	0	49.0926	-7.86955	-828.071	-240863	-27832.1	-9937.96	-32.0974	290.367	0
34	9	49.2591	-0.368286	-358.829	-22816.5	-31059.6	1055.48	145.442	317.586	0	-0.18941	-7.62376	-469.562	-7312.21	30183.3	-145.46	-167.72	269.572	0	49.0697	-7.99205	-828.391	-240964	-27818.2	-9902.16	-32.0698	290.37	0
35	0	49.3368	-0.368107	-359.148	-22806.8	-31039.5	1033.16	145.574	317.503	0	-0.190103	-7.66838	-470.019	-7285.99	30180.5	-145.692	-167.789	269.502	0	49.1467	-8.03648	-829.167	-241127	-27835.5	-9934.01	-32.0576	290.293	0
35	1	49.3258	-0.368164	-358.965	-22816.2	-31048.4	1037.52	145.506	317.561	0	-0.189068	-7.64502	-469.467	-7313.44	30122.3	-145.576	-167.837	269.578	0	49.1367	-8.01319	-828.433	-240977	-27817.7	-9932.38	-32.0637	290.369	0
35	2	49.3588	-0.367971	-359.056	-22797.8	-31045.1	1053.32	145.537	317.494	0	-0.189893	-7.57935	-469.791	-7263.59	30193.4	-145.245	-167.73	269.461	0	49.1689	-7.94732	-828.848	-241011	-27798	-9939.47	-32.023	290.269	0
35	3	49.2591	-0.368269	-358.875	-22825.7	-31022.2	1053.3	145.557	317.604	0	-0.188428	-7.43563	-469.475	-7304.21	30215.4	-144.712	-167.64	269.558	0	49.0707	-7.80389	-828.35	-240947	-27718.1	-9947.1	-31.9502	290.373	0
35	4	49.1813	-0.368476	-359.014	-22821.5	-31028.3	1069.22	145.573	317.567	0	-0.189168	-7.53576	-469.657	-7308.29	30225.6	-145.119	-167.643	269.561	0	48.9922	-7.90424	-828.67	-241032	-27720.2	-9888.64	-31.9451	290.359	0
35	5	49.2365	-0.367833	-358.462	-22783.5	-31049.2	1053.17	145.382	317.559	0	-0.189083	-7.55638	-469.378	-7286.26	30154.5	-145.138	-167.757	269.523	0	49.0475	-7.92421	-827.84	-240762	-27878.6	-9913.89	-32.1649	290.323	0
35	6	49.1808	-0.36786	-358.966	-22769.8	-30990.8	1060.44	145.666	317.432	0	-0.191034	-7.73418	-469.376	-7270.04	30210.5	-145.676	-167.637	269.489	0	48.9897	-8.10204	-828.342	-240868	-27644.2	-9851.59	-31.8654	290.265	0
35	7	49.3361	-0.367515	-359.055	-22746.4	-31034.8	1053.53	145.565	317.351	0	-0.190253	-7.70073	-469.787	-7273.57	30146.9	-145.749	-167.829	269.483	0	49.1458	-8.06824	-828.843	-240974	-27832.6	-9905.88	-32.0661	290.219	0
35	8	49.214	-0.367687	-358.736	-22751	-31043.6	1055.72	145.464	317.42	0	-0.189166	-7.63482	-469.561	-7326.75	30169.4	-145.547	-167.75	269.603	0	49.0249	-8.00251	-828.297	-240890	-27835.6	-9887.92	-32.0968	290.313	0
35	9	49.292	-0.36781	-359.102	-22760.3	-31056.3	1040.05	145.517	317.381	0	-0.189212	-7.54594	-469.746	-7281	30169.9	-145.177	-167.774	269.5	0	49.1028	-7.91375	-828.847	-240989	-27808.8	-9943.51	-32.0394	290.245	0
36	0	49.292	-0.368026	-359.24	-22788.8	-31019	1064.83	145.654	317.436	0	-0.189271	-7.45658	-469.426	-7239.94	30182.4	-144.66	-167.704	269.423	0	49.1027	-7.82461	-828.666	-240927	-27653.3	-9938.79	-31.858	290.237	0
36	1	49.2472	-0.367595	-358.782	-22751.2	-31026.3	1066.97	145.523	317.412	0	-0.190253	-7.62272	-469.468	-7246.93	30168.8	-145.295	-167.738	269.437	0	49.0569	-7.99032	-828.25	-240798	-27788.3	-9887.33	-32.0396	290.219	0
36	2	49.1696	-0.367917	-359.103	-22765.3	-30995	1062.79	145.688	317.395	0	-0.190447	-7.62227	-469.376	-7228.32	30159	-145.235	-167.747	269.4	0	48.9792	-7.99018	-828.479	-240852	-27667.5	-9871.87	-31.8888	290.203	0
36	3	49.2583	-0.367757	-359.103	-22747	-31050.2	1073.86	145.534	317.344	0	-0.190857	-7.68897	-469.558	-7231.08	30155.1	-145.535	-167.78	269.4	0	49.0674	-8.05673	-828.66	-240885	-27772.5	-9868.17	-32.0043	290.177	0
36	4	49.147	-0.367761	-359.789	-22700.4	-31022.2	1061.13	145.777	317.094	0	-0.190851	-7.71187	-469.559	-7259.86	30187.9	-145.649	-167.71	269.461	0	48.9561	-8.07963	-829.348	-241043	-27547.8	-9847.44	-31.7127	290.125	0
36	5	49.292	-0.36797	-359.148	-22779.3	-31042.3	1058.02	145.567	317.426	0	-0.189809	-7.58896	-469.605	-7236.41	30122.6	-145.238	-167.855	269.41	0	49.1022	-7.95693	-828.753	-240942	-27798.8	-9915.59	-32.0307	290.218	0
36	6	49.2367	-0.368429	-359.653	-22793.8	-31040.1	1060.6	145.694	317.377	0	-0.189671	-7.5331	-469.239	-7224.75	30135	-144.895	-167.779	269.397	0	49.047	-7.90153	-828.893	-240978	-27580.5	-9911.59	-31.764	290.215	0
